image,generated_caption,original_caption,value1,value2
1836335410_de8313a64e.jpg,Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão.,A man dressed in brown holding a light saber,0.13866,-0.16125
1836335410_de8313a64e.jpg,Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão.,a man wearing a black outfit holding on to a glowing sword,0.08773,-0.14868
1836335410_de8313a64e.jpg,Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão.,Man dressed up in black and brown and holding a white light saber,0.13197,-0.11182
1836335410_de8313a64e.jpg,Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão.,The man holds a light Sabre,0.14671,-0.18099
1836335410_de8313a64e.jpg,Legenda finalizada: Fotografia de um homem adulto caucasiano segurando um sabre de luz à noite. Ele usa um casaco cinza com o objeto brilhante em sua mão.,The man is playing with his Star Wars light sword,0.11396,-0.15262
566794036_60f7acdf35.jpg,"Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão.",A man wearing red shorts dribbles a basketball behind him,0.07844,-0.16910
566794036_60f7acdf35.jpg,"Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão.",A man with no shirt plays basketball,0.08664,-0.18692
566794036_60f7acdf35.jpg,"Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão.",An athlete in red shorts is caught frozen during a basketball move,0.05100,-0.18893
566794036_60f7acdf35.jpg,"Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão.",A shirtless man in red shorts bouncing a basketball on a court,0.06043,-0.11933
566794036_60f7acdf35.jpg,"Caption: Uma fotografia de um homem sem camisa, de construção muscular, jogando basquete numa quadra ao ar livre. Ele tem cabelos castanhos e usa uma calça preta. Ele segura uma bola de basquete na mão.",Man in red shorts bouncing a basketball,0.05497,-0.08777
