image,original_caption,generated_caption,value1,value2
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle,"A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water out of a faucet",0.49558,0.69973
918886676_3323fb2a01.jpg,A tan dog has a drink from water being poured from a spout,"A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water out of a faucet",0.56162,0.70083
918886676_3323fb2a01.jpg,a yellow lab drinks water,"A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water out of a faucet",0.50795,0.57352
918886676_3323fb2a01.jpg,The yellow dog is drinking water from a bottle,"A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water out of a faucet",0.56827,0.65064
918886676_3323fb2a01.jpg,Yellow Labrador drinking water from a faucet,"A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water out of a faucet",0.65323,0.63502
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle,"""A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water directly from a faucet",0.48380,0.71776
918886676_3323fb2a01.jpg,A tan dog has a drink from water being poured from a spout,"""A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water directly from a faucet",0.54383,0.70185
918886676_3323fb2a01.jpg,a yellow lab drinks water,"""A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water directly from a faucet",0.50319,0.56678
918886676_3323fb2a01.jpg,The yellow dog is drinking water from a bottle,"""A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water directly from a faucet",0.56579,0.67387
918886676_3323fb2a01.jpg,Yellow Labrador drinking water from a faucet,"""A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water directly from a faucet",0.65816,0.66954
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle,A dog drinking water out of a faucet,0.60492,0.82817
918886676_3323fb2a01.jpg,A tan dog has a drink from water being poured from a spout,A dog drinking water out of a faucet,0.62039,0.80974
918886676_3323fb2a01.jpg,a yellow lab drinks water,A dog drinking water out of a faucet,0.57230,0.71630
918886676_3323fb2a01.jpg,The yellow dog is drinking water from a bottle,A dog drinking water out of a faucet,0.65576,0.78839
918886676_3323fb2a01.jpg,Yellow Labrador drinking water from a faucet,A dog drinking water out of a faucet,0.76369,0.80690
1836335410_de8313a64e.jpg,A man dressed in brown holding a light saber,A man holding a light saber in his hand,0.82127,0.86828
1836335410_de8313a64e.jpg,a man wearing a black outfit holding on to a glowing sword,A man holding a light saber in his hand,0.53319,0.74269
1836335410_de8313a64e.jpg,Man dressed up in black and brown and holding a white light saber,A man holding a light saber in his hand,0.62049,0.62611
1836335410_de8313a64e.jpg,The man holds a light Sabre,A man holding a light saber in his hand,0.72611,0.69419
1836335410_de8313a64e.jpg,The man is playing with his Star Wars light sword,A man holding a light saber in his hand,0.55560,0.55554
2683985894_167d267dcb.jpg,A clown in an orange shirt entertains a crowd,"A woman dressed as a clown on a cell phone, outdoors, with caucasian ethnicity, leading a vibrant lifestyle, and being an adult",0.43045,0.56662
2683985894_167d267dcb.jpg,A girl in a orange shirt and a stripe tie,"A woman dressed as a clown on a cell phone, outdoors, with caucasian ethnicity, leading a vibrant lifestyle, and being an adult",0.26553,0.60207
2683985894_167d267dcb.jpg,A girl in orange shirt and clown makeup stands in a park while others look on,"A woman dressed as a clown on a cell phone, outdoors, with caucasian ethnicity, leading a vibrant lifestyle, and being an adult",0.46691,0.50937
2683985894_167d267dcb.jpg,The woman dressed as a clown is performing outside for others,"A woman dressed as a clown on a cell phone, outdoors, with caucasian ethnicity, leading a vibrant lifestyle, and being an adult",0.48939,0.60976
2683985894_167d267dcb.jpg,The young lady appears to be a mime among her peers,"A woman dressed as a clown on a cell phone, outdoors, with caucasian ethnicity, leading a vibrant lifestyle, and being an adult",0.20198,0.58118
2998277360_9b4c0192f1.jpg,"A man in a yellow slicker holds a sign saying "" down and out """,A woman sitting on a curb holding a sign,0.42408,0.66072
2998277360_9b4c0192f1.jpg,"An elderly lady in a yellow raincoat is sitting by a white building , holding up a cardboard sign to a car driving by",A woman sitting on a curb holding a sign,0.46762,0.77205
2998277360_9b4c0192f1.jpg,Elderly woman in yellow parka pan handling,A woman sitting on a curb holding a sign,0.27251,0.34621
2998277360_9b4c0192f1.jpg,Man with a yellow coat and a cardboard sign,A woman sitting on a curb holding a sign,0.25475,0.67057
2998277360_9b4c0192f1.jpg,"Older woman in yellow jacket , holds sign saying "" DOWN AND OUT "" in urban area",A woman sitting on a curb holding a sign,0.28622,0.25953
391324644_d23fdf06cb.jpg,A guy on inline skates with a white hat is on a yellow rail,A man riding a skateboard on top of a yellow rail,0.64421,0.84651
391324644_d23fdf06cb.jpg,a male skater is riding a yellow rail,A man riding a skateboard on top of a yellow rail,0.81507,0.81199
391324644_d23fdf06cb.jpg,A man Rollerblades across a yellow pole at night,A man riding a skateboard on top of a yellow rail,0.64910,0.76056
391324644_d23fdf06cb.jpg,An inline skater boy balances on a yellow rail,A man riding a skateboard on top of a yellow rail,0.69374,0.75016
391324644_d23fdf06cb.jpg,A skater does a trick on a yellow handrail,A man riding a skateboard on top of a yellow rail,0.66445,0.76276
