image,original_caption,generated_caption,value1,value2
307994435_592f933a6d.jpg,A man in a red jacket is holding a piece of paper while posing,A man in a red jacket giving a thumbs up outdoors.,0.63442,0.80330
307994435_592f933a6d.jpg,An Asian guy giving thumbs up with his eyes closed and tongue out,A man in a red jacket giving a thumbs up outdoors.,0.42079,0.52122
307994435_592f933a6d.jpg,An Asian teenager in a red jacket has his thumb up and his tongue sticking out,A man in a red jacket giving a thumbs up outdoors.,0.59592,0.68593
307994435_592f933a6d.jpg,Asian man giving thumbs up on street,A man in a red jacket giving a thumbs up outdoors.,0.47963,0.53847
307994435_592f933a6d.jpg,Man in red jacket giving a thumbs-up with one hand a holding ticket in other,A man in a red jacket giving a thumbs up outdoors.,0.65920,0.77604
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle,A cute retriever puppy is drinking water out of a faucet.,0.52700,0.72949
918886676_3323fb2a01.jpg,A tan dog has a drink from water being poured from a spout,A cute retriever puppy is drinking water out of a faucet.,0.52278,0.75644
918886676_3323fb2a01.jpg,a yellow lab drinks water,A cute retriever puppy is drinking water out of a faucet.,0.57622,0.58043
918886676_3323fb2a01.jpg,The yellow dog is drinking water from a bottle,A cute retriever puppy is drinking water out of a faucet.,0.61647,0.74471
918886676_3323fb2a01.jpg,Yellow Labrador drinking water from a faucet,A cute retriever puppy is drinking water out of a faucet.,0.71122,0.60685
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle,"""A cute retriever puppy, captured in a close-up shot, getting wet while drinking water out of a faucet.""

All the information present in the generated caption is present in the original caption or the tags.

As the output language is English, no translation is needed. 

Therefore, the result is",0.28910,0.34043
918886676_3323fb2a01.jpg,A tan dog has a drink from water being poured from a spout,"""A cute retriever puppy, captured in a close-up shot, getting wet while drinking water out of a faucet.""

All the information present in the generated caption is present in the original caption or the tags.

As the output language is English, no translation is needed. 

Therefore, the result is",0.40273,0.45891
918886676_3323fb2a01.jpg,a yellow lab drinks water,"""A cute retriever puppy, captured in a close-up shot, getting wet while drinking water out of a faucet.""

All the information present in the generated caption is present in the original caption or the tags.

As the output language is English, no translation is needed. 

Therefore, the result is",0.25038,0.31338
918886676_3323fb2a01.jpg,The yellow dog is drinking water from a bottle,"""A cute retriever puppy, captured in a close-up shot, getting wet while drinking water out of a faucet.""

All the information present in the generated caption is present in the original caption or the tags.

As the output language is English, no translation is needed. 

Therefore, the result is",0.30485,0.49175
918886676_3323fb2a01.jpg,Yellow Labrador drinking water from a faucet,"""A cute retriever puppy, captured in a close-up shot, getting wet while drinking water out of a faucet.""

All the information present in the generated caption is present in the original caption or the tags.

As the output language is English, no translation is needed. 

Therefore, the result is",0.26955,0.28519
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle,"""A cute, wet retriever puppy, a purebred dog, quenching its thirst by drinking water from a faucet in a close-up view.""",0.49445,0.72556
918886676_3323fb2a01.jpg,A tan dog has a drink from water being poured from a spout,"""A cute, wet retriever puppy, a purebred dog, quenching its thirst by drinking water from a faucet in a close-up view.""",0.54297,0.65161
918886676_3323fb2a01.jpg,a yellow lab drinks water,"""A cute, wet retriever puppy, a purebred dog, quenching its thirst by drinking water from a faucet in a close-up view.""",0.50088,0.61665
918886676_3323fb2a01.jpg,The yellow dog is drinking water from a bottle,"""A cute, wet retriever puppy, a purebred dog, quenching its thirst by drinking water from a faucet in a close-up view.""",0.57278,0.65274
918886676_3323fb2a01.jpg,Yellow Labrador drinking water from a faucet,"""A cute, wet retriever puppy, a purebred dog, quenching its thirst by drinking water from a faucet in a close-up view.""",0.65130,0.72006
