image,original_caption,generated_caption,value1,value2
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle,"A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water out of a faucet",0.49558,0.69973
918886676_3323fb2a01.jpg,A tan dog has a drink from water being poured from a spout,"A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water out of a faucet",0.56162,0.70083
918886676_3323fb2a01.jpg,a yellow lab drinks water,"A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water out of a faucet",0.50795,0.57352
918886676_3323fb2a01.jpg,The yellow dog is drinking water from a bottle,"A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water out of a faucet",0.56827,0.65064
918886676_3323fb2a01.jpg,Yellow Labrador drinking water from a faucet,"A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water out of a faucet",0.65323,0.63502
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle,"""A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water directly from a faucet",0.48380,0.71776
918886676_3323fb2a01.jpg,A tan dog has a drink from water being poured from a spout,"""A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water directly from a faucet",0.54383,0.70185
918886676_3323fb2a01.jpg,a yellow lab drinks water,"""A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water directly from a faucet",0.50319,0.56678
918886676_3323fb2a01.jpg,The yellow dog is drinking water from a bottle,"""A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water directly from a faucet",0.56579,0.67387
918886676_3323fb2a01.jpg,Yellow Labrador drinking water from a faucet,"""A close-up of a wet, cute retriever puppy, a purebred dog, quenching its thirst by drinking water directly from a faucet",0.65816,0.66954
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle,A dog drinking water out of a faucet,0.60492,0.82817
918886676_3323fb2a01.jpg,A tan dog has a drink from water being poured from a spout,A dog drinking water out of a faucet,0.62039,0.80974
918886676_3323fb2a01.jpg,a yellow lab drinks water,A dog drinking water out of a faucet,0.57230,0.71630
918886676_3323fb2a01.jpg,The yellow dog is drinking water from a bottle,A dog drinking water out of a faucet,0.65576,0.78839
918886676_3323fb2a01.jpg,Yellow Labrador drinking water from a faucet,A dog drinking water out of a faucet,0.76369,0.80690
