image,generated_caption,original_caption,value1,value2
1836335410_de8313a64e.jpg,a man holding a light saber in his hand,A man dressed in brown holding a light saber,0.82127,0.85815
1836335410_de8313a64e.jpg,a man holding a light saber in his hand,a man wearing a black outfit holding on to a glowing sword,0.53319,0.76248
1836335410_de8313a64e.jpg,a man holding a light saber in his hand,Man dressed up in black and brown and holding a white light saber,0.62049,0.64085
1836335410_de8313a64e.jpg,a man holding a light saber in his hand,The man holds a light Sabre,0.72611,0.69625
1836335410_de8313a64e.jpg,a man holding a light saber in his hand,The man is playing with his Star Wars light sword,0.55560,0.55830
2276314067_7ee246f859.jpg,two dogs playing with each other in a field,Two dark colored dogs fighting one another,0.53954,0.59649
2276314067_7ee246f859.jpg,two dogs playing with each other in a field,Two dogs are fighting in a field,0.81329,0.73233
2276314067_7ee246f859.jpg,two dogs playing with each other in a field,Two gray dogs jump at each other over the tall grass,0.64730,0.63494
2276314067_7ee246f859.jpg,two dogs playing with each other in a field,two grey dogs jumping in the air fighting each other,0.63072,0.69477
2276314067_7ee246f859.jpg,two dogs playing with each other in a field,Two large black dogs are playing in a grassy field,0.71355,0.72218
2417341107_97dbab9c5e.jpg,a person doing a handstand on the beach,A boy in black clothes is doing a cartwheel on the beach,0.55873,0.81188
2417341107_97dbab9c5e.jpg,a person doing a handstand on the beach,A kid is doing a hand-stand on the beach,0.85772,0.82029
2417341107_97dbab9c5e.jpg,a person doing a handstand on the beach,A person with black shorts and shirt does a handstand on the beach,0.61719,0.78442
2417341107_97dbab9c5e.jpg,a person doing a handstand on the beach,A young boy doing a handstand on the beach,0.80284,0.89216
2417341107_97dbab9c5e.jpg,a person doing a handstand on the beach,The person is doing a handstand on the beach,0.91481,0.90867
2437266971_b91a8f9a00.jpg,a man wearing a mask holding a piece of paper,A man hands out fliers while wearing a mask,0.74169,0.76348
2437266971_b91a8f9a00.jpg,a man wearing a mask holding a piece of paper,A man in a blue shirt and tie is wearing a white mask whilst handing out papers,0.58653,0.82758
2437266971_b91a8f9a00.jpg,a man wearing a mask holding a piece of paper,A man in a button up shirt and tie is wearing a smiling mask,0.52317,0.81695
2437266971_b91a8f9a00.jpg,a man wearing a mask holding a piece of paper,A masked man in blue shirt and a tie holding papers in front of him,0.54122,0.78177
2437266971_b91a8f9a00.jpg,a man wearing a mask holding a piece of paper,Man in business attire with Guy Fawkes mask holding paper at protest,0.56397,0.48669
2521878609_146143708e.jpg,a young boy eating a plate of noodles with a fork,A person eats noodles,0.58253,0.64552
2521878609_146143708e.jpg,a young boy eating a plate of noodles with a fork,A young boy eats noodles with large utensils,0.77733,0.79146
2521878609_146143708e.jpg,a young boy eating a plate of noodles with a fork,A young boy wearing a gray shirt eats pasta,0.59857,0.74194
