image,original_caption,generated_caption,value1,value2
1836335410_de8313a64e.jpg,A man dressed in brown holding a light saber,A man holding a light saber in his hand,0.82127,0.86828
1836335410_de8313a64e.jpg,a man wearing a black outfit holding on to a glowing sword,A man holding a light saber in his hand,0.53319,0.74269
1836335410_de8313a64e.jpg,Man dressed up in black and brown and holding a white light saber,A man holding a light saber in his hand,0.62049,0.62611
1836335410_de8313a64e.jpg,The man holds a light Sabre,A man holding a light saber in his hand,0.72611,0.69419
1836335410_de8313a64e.jpg,The man is playing with his Star Wars light sword,A man holding a light saber in his hand,0.55560,0.55554
2276314067_7ee246f859.jpg,Two dark colored dogs fighting one another,"Two dogs playing with each other in a field. They are animals, outdoors, and mammals. The scene is in nature, with cute dogs on the grass. The dogs seem to be on a farm. They could be considered pets",0.34543,0.38513
2276314067_7ee246f859.jpg,Two dogs are fighting in a field,"Two dogs playing with each other in a field. They are animals, outdoors, and mammals. The scene is in nature, with cute dogs on the grass. The dogs seem to be on a farm. They could be considered pets",0.48509,0.59161
2276314067_7ee246f859.jpg,Two gray dogs jump at each other over the tall grass,"Two dogs playing with each other in a field. They are animals, outdoors, and mammals. The scene is in nature, with cute dogs on the grass. The dogs seem to be on a farm. They could be considered pets",0.51456,0.43024
2276314067_7ee246f859.jpg,two grey dogs jumping in the air fighting each other,"Two dogs playing with each other in a field. They are animals, outdoors, and mammals. The scene is in nature, with cute dogs on the grass. The dogs seem to be on a farm. They could be considered pets",0.42436,0.42702
2276314067_7ee246f859.jpg,Two large black dogs are playing in a grassy field,"Two dogs playing with each other in a field. They are animals, outdoors, and mammals. The scene is in nature, with cute dogs on the grass. The dogs seem to be on a farm. They could be considered pets",0.50108,0.53251
2417341107_97dbab9c5e.jpg,A boy in black clothes is doing a cartwheel on the beach,"A person doing a handstand on the beach, outdoors, in the summer",0.52493,0.73250
2417341107_97dbab9c5e.jpg,A kid is doing a hand-stand on the beach,"A person doing a handstand on the beach, outdoors, in the summer",0.75363,0.73061
2417341107_97dbab9c5e.jpg,A person with black shorts and shirt does a handstand on the beach,"A person doing a handstand on the beach, outdoors, in the summer",0.59840,0.65448
2417341107_97dbab9c5e.jpg,A young boy doing a handstand on the beach,"A person doing a handstand on the beach, outdoors, in the summer",0.70353,0.75179
2417341107_97dbab9c5e.jpg,The person is doing a handstand on the beach,"A person doing a handstand on the beach, outdoors, in the summer",0.74015,0.80659
2437266971_b91a8f9a00.jpg,A man hands out fliers while wearing a mask,A man wearing a mask holding a piece of paper,0.74169,0.77753
